moneyness,maturity,fitted_vol
0.705337,0.198826,0.339911
0.705337,0.202237,0.339617
0.705337,0.205647,0.339373
0.705337,0.209058,0.33917
0.705337,0.212469,0.339003
0.705337,0.215879,0.338865
0.705337,0.21929,0.338751
0.705337,0.222701,0.338657
0.705337,0.226111,0.33858
0.705337,0.229522,0.338516
0.705337,0.232933,0.338463
0.705337,0.236343,0.338419
0.705337,0.239754,0.338382
0.705337,0.243165,0.338352
0.705337,0.246575,0.338326
0.723081,0.0794521,0.38349
0.723081,0.0828627,0.383027
0.723081,0.0862734,0.382508
0.723081,0.0896841,0.381926
0.723081,0.0930948,0.381274
0.723081,0.0965055,0.380546
0.723081,0.0999161,0.379732
0.723081,0.103327,0.378827
0.723081,0.106737,0.377822
0.723081,0.110148,0.37671
0.723081,0.113559,0.375484
0.723081,0.11697,0.37414
0.723081,0.12038,0.372675
0.723081,0.123791,0.371088
0.723081,0.127202,0.369382
0.723081,0.130612,0.367564
0.723081,0.134023,0.365645
0.723081,0.137434,0.363643
0.723081,0.140844,0.361578
0.723081,0.144255,0.359475
0.723081,0.147666,0.357363
0.723081,0.151076,0.355271
0.723081,0.154487,0.35323
0.723081,0.157898,0.351267
0.723081,0.161308,0.349408
0.723081,0.164719,0.347671
0.723081,0.16813,0.346072
0.723081,0.17154,0.344619
0.723081,0.174951,0.343316
0.723081,0.178362,0.34216
0.723081,0.181772,0.341145
0.723081,0.185183,0.340264
0.723081,0.188594,0.339503
0.723081,0.192004,0.338853
0.723081,0.195415,0.338301
0.723081,0.198826,0.337833
0.723081,0.202237,0.337441
0.723081,0.205647,0.337111
0.723081,0.209058,0.336837
0.723081,0.212469,0.336608
0.723081,0.215879,0.336417
0.723081,0.21929,0.336259
0.723081,0.222701,0.336128
0.723081,0.226111,0.336019
0.723081,0.229522,0.335929
0.723081,0.232933,0.335854
0.723081,0.236343,0.335791
0.723081,0.239754,0.33574
0.723081,0.243165,0.335696
0.723081,0.246575,0.33566
0.740826,0.0794521,0.380584
0.740826,0.0828627,0.380124
0.740826,0.0862734,0.379611
0.740826,0.0896841,0.37904
0.740826,0.0930948,0.378404
0.740826,0.0965055,0.377698
0.740826,0.0999161,0.376914
0.740826,0.103327,0.376047
0.740826,0.106737,0.375091
