,J=66,J=68,J=70,J=72,J=74,J=76,J=78,J=80,J=82,J=84,J=86,J=88,J=90,J=92,J=94,J=96,J=98,J=100,J=102,J=104,J=106,J=108,J=110,J=112,J=114,J=116,J=118,J=120
N=275,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.53,-1.15,-1.15,-0.56,-1.18,-1.18,-0.6,-1.21,4.65,10.95,17.7,24,29.36,35.27,40.8,45.44,50.7,55.62,59.7
N=280,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.53,-1.15,-1.15,-0.56,-1.18,-1.18,-0.6,-1.21,2.27,8.63,15.6,22.1,27.65,33.74,39.44,44.25,49.66,54.73,58.95
N=285,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.53,-1.15,-1.15,-0.56,-1.18,-1.18,-0.6,-1.21,-1.06,6.23,13.4,20.11,25.86,32.13,38.01,42.98,48.55,53.77,58.13
N=290,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.53,-1.15,-1.15,-0.56,-1.18,-1.18,-0.6,-1.21,-1.21,3.44,11.11,18.03,23.98,30.44,36.49,41.63,47.35,52.73,57.24
N=295,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.53,-1.15,-1.15,-0.56,-1.18,-1.18,-0.6,-1.21,-1.21,1.24,8.69,15.86,22.01,28.66,34.89,40.2,46.09,51.62,56.27
N=300,-0.41,-1.05,-1.06,-0.45,-1.08,-1.09,-0.49,-1.12,-1.13,-0.53,-1.15,-1.16,-0.56,-1.18,-1.18,-0.6,-1.21,-1.21,-0.15,6.24,13.61,19.95,26.79,33.21,38.69,44.75,50.43,55.24
N=305,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.49,-1.12,-1.13,-0.53,-1.16,-1.16,-0.56,-1.18,-1.18,-0.59,-1.21,-1.21,-0.63,4.15,11.29,17.81,24.85,31.45,37.11,43.33,49.17,54.13
N=310,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.49,-1.12,-1.13,-0.53,-1.16,-1.16,-0.56,-1.18,-1.18,-0.59,-1.21,-1.21,-0.63,2.32,8.89,15.57,22.82,29.61,35.45,41.84,47.84,52.95
N=315,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.49,-1.12,-1.13,-0.53,-1.16,-1.16,-0.56,-1.18,-1.18,-0.59,-1.21,-1.21,-0.63,0.24,6.63,13.24,20.7,27.69,33.71,40.27,46.43,51.7
N=320,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.49,-1.12,-1.13,-0.53,-1.15,-1.16,-0.56,-1.18,-1.18,-0.59,-1.21,-1.21,-0.63,-1.24,4.67,11,18.49,25.68,31.89,38.62,44.96,50.38
N=325,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.49,-1.12,-1.13,-0.53,-1.15,-1.16,-0.56,-1.18,-1.18,-0.59,-1.21,-1.21,-0.62,-1.23,2.89,8.59,16.24,23.6,29.99,36.9,43.41,48.99
N=330,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.49,-1.12,-1.12,-0.53,-1.15,-1.16,-0.56,-1.18,-1.18,-0.59,-1.21,-1.21,-0.62,-1.23,0.46,6.83,13.87,21.43,28.02,35.11,41.78,47.53
N=335,-0.41,-1.05,-1.06,-0.45,-1.09,-1.09,-0.49,-1.12,-1.12,-0.53,-1.15,-1.16,-0.56,-1.18,-1.18,-0.59,-1.21,-1.21,-0.62,-1.23,-0.99,5.26,11.7,19.19,25.96,33.24,40.09,46
